danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_name,track_name,artist_popularity,track_popularity,artist_genres,playlist_name
0.615,0.114,8,-17.285,1,0.0357,0.926,4e-06,0.166,0.401,101.189,6QHYEZlm9wyfXfEM1vSu1P,277107,4,Bob Dylan,Boots of Spanish Leather,74,46,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",Bob Dylan
0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515,3RkQ3UwOyPqpIiIvGVewuU,330533,4,Bob Dylan,Mr. Tambourine Man,74,59,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",Bob Dylan
0.505,0.258,11,-12.193,0,0.0297,0.805,0.0,0.12,0.641,141.003,0ju1jP0cSPJ8tmojYBEI89,254305,4,Loggins & Messina,Danny's Song,54,60,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",Bob Dylan
0.567,0.198,4,-18.681,1,0.0327,0.919,0.000871,0.135,0.321,92.467,7ny2ATvjtKszCpLpfsGnVQ,412200,4,Bob Dylan,A Hard Rain's A-Gonna Fall,74,49,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",Bob Dylan
0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,18GiV1BaXzPVYpp9rmOg0E,165427,4,Bob Dylan,Blowin' In the Wind,74,65,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",Bob Dylan
0.579,0.479,5,-10.348,1,0.0294,0.206,0.00211,0.163,0.937,135.459,0wfBooQ6QtDm63UIyIcDIj,177200,4,Bob Dylan,John Wesley Harding,74,29,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",Bob Dylan
0.383,0.224,2,-16.99,1,0.0274,0.768,0.0,0.087,0.466,102.94,3xNO6JUk9ySYjxuqzcZYRB,288000,4,Bob Dylan,"If You See Her, Say Hello",74,46,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",Bob Dylan
0.666,0.617,7,-10.851,1,0.0628,0.565,0.0,0.0498,0.764,105.648,5ka7NFOlZUpVLJmA2tO0o4,389800,4,Bob Dylan,Bob Dylan's 115th Dream,74,35,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",Bob Dylan
0.702,0.56,4,-12.323,1,0.0342,0.571,0.0,0.109,0.889,125.452,2FDTgrYDUdQKyGmtynEk90,171107,4,Bob Dylan,Love Minus Zero,74,41,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",Bob Dylan
0.717,0.804,5,-7.563,1,0.0342,0.664,1.02e-05,0.349,0.488,121.017,2GbmNHjKB1HxSnyobburxg,165933,4,The Lumineers,Classy Girls,79,0,"['folk-pop', 'pop', 'stomp and holler']",Bob Dylan
0.607,0.142,7,-23.455,1,0.0382,0.843,0.000197,0.121,0.305,118.867,4K1imZQQ0yKtJ40vGmUajS,220400,4,Bob Dylan,Girl from the North Country,74,63,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",Bob Dylan
0.624,0.692,9,-5.185,0,0.339,0.221,0.0,0.153,0.349,87.042,73AElRO42LtQlBId3tA2Oh,205560,4,JAY Z,03' Bonnie & Clyde,86,0,"['east coast hip hop', 'hip hop', 'rap']",Bob Dylan
0.476,0.475,5,-7.268,1,0.0284,0.419,0.0,0.134,0.228,134.971,3CPRPpkv2p7r3EYdYM7jF3,274213,3,Luis Fonsi,Que Quieres De Mi,77,0,"['latin pop', 'puerto rican pop']",Bob Dylan
0.831,0.61,11,-8.925,1,0.0478,0.0338,0.196,0.167,0.705,125.0,3mWFl8hFKRLl6IuY5ayi3b,358573,4,Parra for Cuva,Wicked Games,60,28,"['downtempo', 'electronica', 'new french touch', 'tropical house']",Bob Dylan
0.431,0.065,1,-14.558,1,0.0398,0.93,0.0,0.0917,0.106,142.55,5OFcjrC1OiRSBylQgF5HDD,307000,4,The Lumineers,Slow It Down,79,48,"['folk-pop', 'pop', 'stomp and holler']",Bob Dylan
0.633,0.357,5,-9.366,0,0.0264,0.105,0.0,0.133,0.674,104.938,3aqTTareFsrd7gMeV7Qvif,245200,4,Bee Gees,How Deep Is Your Love,79,0,"['disco', 'mellow gold', 'soft rock']",Bob Dylan
0.857,0.561,9,-7.288,1,0.0292,0.435,0.0,0.0831,0.76,99.989,3YmA3gZqlXl0MkwhkVKxRy,272576,4,Maná,Mi verdad - feat. Shakira,79,69,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",Bob Dylan
0.39,0.0235,5,-19.695,1,0.0345,0.937,0.00128,0.099,0.155,133.403,5iGleL7HpEThuuYQ3us2jh,125585,5,Henry Mancini,Moon River(Vocal Audrey Hepburn),58,54,"['adult standards', 'classic soundtrack', 'easy listening', 'lounge']",Bob Dylan
0.569,0.372,2,-7.022,1,0.0515,0.809,0.0,0.3,0.5,123.411,4tsUpfcr6bSM4PIIFQGkQF,129813,4,Frank Sinatra,I've Got The World On A String,80,0,"['adult standards', 'easy listening', 'lounge']",Bob Dylan
0.584,0.802,2,-8.03,1,0.0784,0.149,0.0,0.0683,0.835,114.172,47y8hRlWLEJ4VafE6LMjEZ,132013,4,Elvis Presley,A Little Less Conversation,82,55,"['rock-and-roll', 'rockabilly']",Bob Dylan
0.655,0.405,2,-9.825,1,0.036,0.808,1.33e-06,0.116,0.696,105.272,0tHcXWIYt99GY8BONrPIfA,115280,4,Elvis Presley,That's All Right,82,55,"['rock-and-roll', 'rockabilly']",Bob Dylan
0.334,0.477,0,-8.806,1,0.0276,0.618,4.17e-06,0.312,0.405,179.239,78WVLOP9pN0G3gRLFy1rAa,336200,3,Billy Joel,Piano Man,78,60,"['classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",Bob Dylan
0.506,0.373,0,-9.473,1,0.0347,0.499,4.05e-05,0.323,0.194,121.289,6yjKlmm7vOszkXEUku1EM1,362400,4,Billy Joel,New York State of Mind,78,59,"['classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",Bob Dylan
0.642,0.722,2,-13.031,1,0.0375,0.0444,0.00388,0.122,0.836,172.406,7ojJ4XvqBhBcteM0zjMebT,207440,4,UB40,(I Can't Help) Falling in Love With You,70,67,"['reggae fusion', 'uk reggae']",Bob Dylan
0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,1JO1xLtVc8mWhIoE3YaCL0,176293,4,The Turtles,Happy Together,61,72,"['bubblegum pop', 'classic rock', 'folk rock', 'psychedelic rock']",Bob Dylan
0.623,0.38,11,-15.221,1,0.0309,0.0476,0.0,0.3,0.46,144.882,5ZeKZBB57EnctaXih6hJvE,270227,4,REO Speedwagon,In My Dreams,66,56,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",Bob Dylan
0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,4rcHWl68ai6KvpXlc8vbnE,200293,4,REO Speedwagon,Keep on Loving You - Remastered,66,69,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",Bob Dylan
